1	Online	10
2	Proceedings of the 6th international workshop on Software and performance	10
3	Journal of Multivariate Analysis	10
4	Bioinformatics	10
5	Proceedings of the 13th International Conference on Pattern Recognition - Volume 2	10
6	IEEE/ACM Transactions on Networking (TON)	10
7	Theoretical Computer Science	10
8	Proceedings of the 38th conference on Winter simulation	10
9	Proceedings of the 39th annual Symposium on Simulation	10
10	ACM SIGMICRO Newsletter	10
11	Pattern Recognition	10
12	Neural Networks	10
13	Pattern Recognition Letters	10
14	Theory of Computing Systems	10
15	Journal of Computational Physics	10
16	ACM SIGARCH Computer Architecture News	10
17	World Wide Web	10
18	Journal of Biomedical Informatics	10
19	Proceedings of the 12th international conference on Intelligent user interfaces	10
20	ACM SIGBED Review	10
21	Information Fusion	10
22	Proceedings of the sixth international workshop on the ACL2 theorem prover and its applications	10
23	Issue 18 (February 1975)	10
24	Crossroads	10
25	ACM Transactions on Architecture and Code Optimization (TACO)	10
26	AI Communications	10
27	Applied Numerical Mathematics	10
28	Applied Stochastic Models in Business and Industry	10
29	Proceedings of the 2006 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries	10
30	Computers and Industrial Engineering	10
31	Microsystem Technologies	10
32	Cybernetics and Systems Analysis	10
33	International Journal of Information Security	10
34	IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences	10
35	Journal of the ACM (JACM)	10
36	ACM Transactions on Mathematical Software (TOMS)	10
37	Proceedings of the 21st International Conference on Advanced Information Networking and Applications Workshops - Volume 01	10
38	ACM Transactions on Programming Languages and Systems (TOPLAS)	10
39	International Journal on Software Tools for Technology Transfer (STTT)	10
40	Computational Mathematical Organization Theory	10
41	Proceedings of the 2006 ACM SIGGRAPH/Eurographics symposium on Computer animation	10
42	CHI '07 extended abstracts on Human factors in computing systems	10
43	Decision Support Systems	10
44	Proceedings of the main conference on Human Language Technology Conference of the North American Chapter of the Association of Computational Linguistics	10
45	ACM Transactions on Sensor Networks (TOSN)	10
46	Proceedings of the 6th international conference on Aspect-oriented software development	10
47	Proceedings of the ninth ACM symposium on Solid modeling and applications	10
48	Proceedings of the 1st ACM SIGOPS/EuroSys European Conference on Computer Systems 2006	10
49	Proceedings of the 2007 ACM/SIGDA 15th international symposium on Field programmable gate arrays	10
50	Information Retrieval	10
51	Wireless Personal Communications: An International Journal	10
52	IEICE - Transactions on Information and Systems	10
53	Communications of the ACM	10
54	ACM SIGGRAPH 2003 Papers	10
55	International Journal of Computer Vision	10
56	Complexity	10
57	Issue 22 (December 1977)	10
58	Issue 16 (April 1974)	10
59	Interacting with Computers	10
60	ACM Transactions on Database Systems (TODS)	10
61	Ubiquity	10
62	Journal of Robotic Systems	10
63	Journal of Mathematical Imaging and Vision	10
64	ACM SIGMOBILE Mobile Computing and Communications Review	10
65	Mathematics and Computers in Simulation	10
66	International Journal of Human-Computer Studies	10
67	ACM SIGDOC Asterisk Journal of Computer Documentation	10
68	Issue 17 (November 1974)	10
69	Education and Information Technologies	10
70	ACM Transactions on Embedded Computing Systems (TECS)	10
