(467,1635)
(2594,516)
(2980,184)
(783,447)
(2998,2051)
(310,666)
(789,2695)
(2995,1859)
(122,1509)
(517,938)
(2713,1793)
(2642,2367)
(1133,1277)
(2176,1782)
(1749,1115)
(457,2597)
(701,2956)
(2436,1369)
(627,398)
(421,780)
(2238,2446)
(2280,757)
(1691,1863)
(1623,398)
(1126,1615)
(42,1553)
(1059,952)
(1205,1062)
(1262,1133)
(1858,949)
(1751,624)
(430,332)
(69,1157)
(699,371)
(2658,760)
(617,928)
(1868,388)
(2174,239)
(1842,2741)
(1808,1709)
(1,1927)
(1828,57)
(665,2836)
(780,1195)
(1239,2187)
(1226,1451)
(2704,2223)
(2755,2032)
(979,2614)
(1026,1183)
(1770,1933)
(2840,988)
(2256,2261)
(2640,313)
(1075,2311)
(867,2377)
(1559,351)
(2720,915)
(47,1491)
(2059,1262)
(1377,1917)
(1309,2550)
(925,1440)
(2114,2562)
(2975,1950)
(2161,1196)
(1431,2270)
(920,65)
(1231,1799)
(2306,1377)
(2046,1607)
(463,2208)
(1692,1588)
(1940,1271)
(1348,1199)
(783,1947)
(258,2080)
(2069,519)
(190,1188)
(2188,2953)
(2059,818)
(2534,1437)
(2656,1451)
(2068,2787)
(1887,34)
(1182,2435)
(59,2663)
(2697,2293)
(2070,193)
(1616,721)
(2638,2833)
(1785,1318)
(2003,2949)
(251,2061)
(2102,2941)
(2365,2245)
(2378,2792)
(1884,2383)
(579,985)
(510,2505)
(471,2400)
(2428,39)
(1708,1385)
(1035,1846)
(2821,2299)
(1865,506)
(800,713)
(1421,277)
(2946,2498)
(2439,2245)
(2319,1650)
(2487,1093)
(860,2790)
(1219,220)
(558,2035)
(2458,2621)
(13,1908)
(832,1748)
(1020,2726)
(562,357)
(576,2918)
(2205,149)
(2306,2199)
(1778,2707)
(641,2623)
(320,1983)
(2234,220)
(1185,1104)
(1344,484)
(2575,2244)
(622,2217)
(1472,365)
(475,972)
(1440,2835)
(492,1488)
(1799,348)
(113,958)
(1478,1527)
(1623,2938)
(1635,1187)
(2000,1509)
(916,1795)
(1680,711)
(2564,389)
(1477,1164)
(2535,205)
(222,294)
(591,2753)
(1569,883)
(1796,404)
(1505,1310)
(1702,704)
(2848,102)
(605,637)
(1315,425)
(1586,2966)
(1632,2522)
(1534,2835)
(951,1661)
(2598,1066)
(387,1591)
(345,2861)
(2906,602)
(2924,2739)
(1054,2650)
(1168,687)
(2878,1325)
(1915,1346)
(542,1583)
(733,809)
(2535,1294)
(1265,2343)
(89,94)
(2680,1860)
(2558,1846)
(788,1411)
(2879,2243)
(1890,1703)
(2765,2098)
(2253,701)
(2643,2190)
(2200,1732)
(1116,2674)
(1,349)
(2520,1143)
(2502,1520)
(1741,2762)
(1661,61)
(1786,491)
(71,2329)
(1842,649)
(1707,1648)
(1863,1790)
(1381,2588)
(2556,1893)
(2534,1822)
(1375,1865)
(2389,1264)
(2629,476)
(2078,750)
(2534,1280)
(889,1497)
(149,403)
(300,1151)
(2344,2280)
(2650,1214)
(2532,1930)
(480,2661)
(2186,751)
(2806,744)
(2261,1569)
(541,2172)
(2895,1964)
(2523,559)
(19,36)
(2090,2028)
(184,454)
(2423,1325)
(2829,640)
(432,1178)
(195,457)
(2092,1735)
(2291,359)
(2139,1451)
(355,415)
(999,863)
(2878,116)
(2928,47)
(191,2639)
(1780,1621)
(2610,688)
(531,1572)
(2525,2596)
(345,149)
(2911,2575)
(675,637)
(2496,832)
(139,2191)
(110,2266)
(170,651)
(2361,2782)
(1222,8)
(2950,1908)
(2887,1514)
(2187,1489)
(531,941)
(2834,1889)
(1139,1321)
(875,1863)
(1944,2665)
(2609,2203)
(2743,1764)
(2522,1548)
(2549,195)
(972,2926)
(1542,227)
(1804,2680)
(981,1547)
(1158,1424)
(999,2694)
(447,398)
(2999,1754)
(2233,2573)
(697,1704)
(1299,1912)
(2288,1115)
(1442,1720)
(2374,189)
(603,2531)
(410,1660)
(2842,1576)
