16
(479,682)
5000
(1462,644)
(1835,1184)
(1272,1479)
(374,1474)
(28,1250)
(648,155)
(101,208)
(203,397)
(223,900)
(1903,1587)
(184,1952)
(1814,1846)
(471,551)
(1020,122)
(1376,288)
(205,300)
(532,1050)
(1769,1071)
(366,811)
(1161,828)
(1580,969)
(469,413)
(409,1558)
(1929,811)
(270,664)
(1661,1130)
(1001,1391)
(1846,1205)
(551,938)
(209,1667)
(16,1967)
(253,553)
(1936,208)
(1335,1143)
(420,550)
(1437,1159)
(1712,238)
(211,1099)
(1555,1860)
(389,1687)
(1941,931)
(840,190)
(1989,569)
(441,1883)
(1238,56)
(646,798)
(826,74)
(1825,1754)
(127,1969)
(1795,441)
(1012,682)
(1688,1488)
(1951,1135)
(185,519)
(322,868)
(90,1136)
(1009,431)
(1370,1884)
(896,756)
(1540,1091)
(751,1507)
(1423,1919)
(385,803)
(1147,1931)
(1791,46)
(1677,302)
(832,1171)
(575,1540)
(1445,1134)
(210,427)
(28,1858)
(350,381)
(1892,180)
(1465,821)
(1076,794)
(353,1761)
(1961,413)
(1577,1882)
(1984,458)
(563,1680)
(1526,515)
(1197,1241)
(687,317)
(112,1465)
(1457,349)
(967,1052)
(121,641)
(205,1942)
(1774,1624)
(172,344)
(1859,1750)
(866,1013)
(1274,1224)
(408,1639)
(646,314)
(1247,772)
(550,822)
(105,1351)
(1320,1079)
(1854,220)
(530,1568)
(1876,817)
(1946,892)
(1584,1039)
(1301,367)
(366,765)
(615,1217)
(1681,1056)
(1464,525)
(827,1808)
(66,1399)
(349,236)
(1250,1426)
(879,91)
(458,1759)
(1608,722)
(706,431)
(1073,877)
(88,1408)
(1201,1852)
(1731,1132)
(723,626)
(1804,1959)
(1351,906)
(1172,1107)
(1911,965)
(1609,311)
(1367,322)
(1058,1165)
(485,89)
(52,1981)
(1255,682)
(763,1812)
(1846,1719)
(461,1319)
(873,77)
(1026,1524)
(233,363)
(1802,488)
(649,1173)
(1049,366)
(1554,1875)
(700,1526)
(873,146)
(1256,1980)
(879,1802)
(489,1844)
(1891,923)
(869,474)
(1318,795)
(636,1051)
(1516,867)
(763,689)
(370,1712)
(1533,1620)
(1982,729)
(700,664)
(1463,735)
(796,1461)
(1666,1536)
(164,208)
(1560,1520)
(1964,1125)
(708,371)
(895,569)
(641,944)
(309,623)
(1698,1697)
(1922,110)
(1543,1680)
(1760,634)
(779,1602)
(62,1104)
(1333,1118)
(1599,577)
(1799,1891)
(1620,1418)
(165,944)
(1764,1556)
(926,573)
(34,412)
(713,1567)
(90,718)
(1298,1592)
(1888,1127)
(188,1757)
(1616,947)
(449,22)
(120,1550)
(1246,1804)
(459,1088)
(1013,1059)
(1320,1546)
(1632,1548)
(824,135)
(932,456)
(1388,1726)
(1182,1477)
